continent,sub-cont,per_unmet
Latin America and the Caribbean,Caribbean,0.41659517656661876
Latin America and the Caribbean,Central America,0.4248968067569395
Asia,Eastern Asia,0.42746112040156453
Latin America and the Caribbean,South America,0.4471596392204707
Asia,Southern Asia,0.5540811849215466
Asia,Central Asia,0.5653848374323519
Asia,Southeast Asia,0.6012278819465161
Oceania,Melanesia,0.672977628054533
Asia,Western Asia,0.7163186843925708
Oceania,Polynesia,0.7306489735484686
Oceania,Micronesia,0.7308584621663724
